PopID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
c	47167	29673777	191513	82017	0.2764	4.5877	59.90845	0.00142	0.99951	0.00016	0	0.00029	0.0001	0	0.99971	0.0001	0	0.00066	0.00024	0	0.99934	0.00024	0	0.00075	0.00033	0	0.00119	0.00113	0.00142
iw	24947	36440018	194102	63142	0.17328	2.75987	16.35365	0.00067	0.9996	0.00014	0	0.00026	0.00013	0	0.99974	0.00013	0	0.00051	0.0002	0	0.99949	0.0002	0	0.00061	0.00031	0	0.00075	0.00074	0.00067
Outgroup	20511	12291358	152175	14935	0.12151	2.29667	3.44249	0.00053	0.99966	0.00012	0	0.00037	0.0002	0	0.99963	0.0002	0	0.00044	0.00018	0	0.99956	0.00018	0	0.00053	0.00027	0	0.0003	0.00035	0.00053
i	6069	12394131	152165	4817	0.03887	3.00188	7.28617	0.00077	0.9999	0.00003	0	0.00013	0.00008	0	0.99987	0.00008	0	0.00012	0.00005	0	0.99988	0.00005	0	0.00016	0.00009	0	0.00005	0.00009	0.00077
s	13257	13349666	157782	24383	0.18265	3.09101	9.79262	0.00086	0.99957	0.00014	0	0.00043	0.0002	0	0.99957	0.0002	0	0.00058	0.00022	0	0.99942	0.00022	0	0.00067	0.00032	0	0.00053	0.00055	0.00086
t	4675	11333826	150269	18676	0.16478	2.53284	4.82729	0.00065	0.99953	0.00017	0	0.00047	0.00025	0	0.99953	0.00025	0	0.0006	0.00024	0	0.9994	0.00024	0	0.00072	0.00037	0.00001	0.00048	0.00054	0.00065
mw	16580	20338826	173976	47263	0.23238	3.13283	16.46874	0.0009	0.99952	0.00016	0	0.00036	0.00015	0	0.99964	0.00015	0	0.00065	0.00024	0	0.99935	0.00024	0	0.00075	0.00034	0	0.00085	0.00084	0.0009
