popID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
c	47167	16.11722	133.89021	0.02644	0.92398	0.01894	0.00031	0.04452	0.01406	0.00027	0.95548	0.01406	0.00027	0.10261	0.02658	0.00037	0.89739	0.02658	0.00037	0.1157	0.03754	0.00044	0.18395	0.14178	0.02644
iw	24947	9.4554	44.24747	0.0151	0.92578	0.0209	0.00033	0.04843	0.02118	0.00033	0.95157	0.02118	0.00033	0.09562	0.02797	0.00038	0.90438	0.02797	0.00038	0.11405	0.04518	0.00048	0.14152	0.11949	0.0151
Outgroup	20511	4.03835	3.71099	0.00494	0.97273	0.00882	0.00024	0.03013	0.01536	0.00032	0.96987	0.01536	0.00032	0.03542	0.01297	0.00029	0.96458	0.01297	0.00029	0.04254	0.02005	0.00036	0.02399	0.02772	0.00494
i	6069	5.64862	6.79047	0.00668	0.99214	0.00274	0.00013	0.01063	0.00664	0.00021	0.98937	0.00664	0.00021	0.01012	0.00381	0.00016	0.98988	0.00381	0.00016	0.01275	0.00687	0.00021	0.00442	0.00708	0.00668
s	13257	6.20957	11.64724	0.00859	0.96348	0.01083	0.00026	0.03597	0.01594	0.00032	0.96403	0.01594	0.00032	0.04872	0.01616	0.00032	0.95128	0.01616	0.00032	0.05705	0.02412	0.00039	0.04501	0.04484	0.00859
t	4675	4.48445	5.4931	0.00605	0.96469	0.01139	0.00028	0.0352	0.01742	0.00034	0.9648	0.01742	0.00034	0.04534	0.01639	0.00033	0.95466	0.01639	0.00033	0.05428	0.02518	0.00041	0.03623	0.03927	0.00605
mw	16580	8.17102	29.2666	0.01297	0.94345	0.01554	0.0003	0.04233	0.01531	0.0003	0.95767	0.01531	0.0003	0.07564	0.02223	0.00036	0.92436	0.02223	0.00036	0.08711	0.03249	0.00043	0.09888	0.08851	0.01297
